File (ID),Volume (mm3),Surface Area (mm2),Length (mm),Width (mm),Height (mm),Mass (g)
S4d_mesh_1.ply,284.757,717.392,39.833,7.683,9.708,0.049
S4d_mesh_10.ply,186.622,507.626,43.102,10.582,7.823,0.075
S4d_mesh_2.ply,469.463,1055.942,58.209,11.276,9.559,0.189
S4d_mesh_3.ply,394.165,1248.341,50.166,24.817,10.634,0.072
S4d_mesh_4.ply,208.710,592.377,47.335,10.515,9.014,0.084
S4d_mesh_5.ply,549.240,859.611,59.255,9.422,7.646,0.042
S4d_mesh_6.ply,1213.331,1189.512,48.528,10.626,10.985,0.49
S4d_mesh_7.ply,1228.630,1413.878,39.341,19.419,17.195,0.496
S4d_mesh_8.ply,521.917,931.931,55.766,11.252,14.069,0.21
S4d_mesh_9.ply,450.778,814.116,47.168,14.269,9.540,0.182
